"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"24","Kansas City Chiefs (KC)","2","0","0","0","0","0","0","1","2.0","2.0","87.9%"
"25","Houston Texans (HOU)","2","0","0","1","0","0","0","1","2.0","2.0","72.1%"
"26","Green Bay Packers (GB)","1","0","0","0","0","0","0","1","2.0","2.0","35.9%"
"27","Miami Dolphins (MIA)","1","1","0","0","0","0","0","1","2.0","2.0","47.0%"
"28","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","1.0","1.0","1.0%"
"29","New York Giants (NYG)","0","0","0","0","0","0","0","1","0.0","0.0","19.3%"
"30","Pittsburgh Steelers (PIT)","0","0","0","0","0","0","0","0","0","0","87.9%"
"31","San Francisco 49ers (SF)","0","0","0","0","0","0","0","0","0","0","81.1%"
"32","Denver Broncos (DEN)","1","0","0","1","0","0","0","1","-3.0","-3.0","74.4%"
""
""
"1","Philadelphia Eagles (PHI)","3","1","4","3","0","0","0","1","20.0","20.0","64.9%"
